value_exc_vat,value_inc_vat,valid_from,valid_to,payment_method,hour,month,season,is_filled
28.69,30.1245,2024-05-17 15:00:00+00:00,2024-05-17 15:30:00+00:00,,15.0,5.0,spring,False
28.77,30.2085,2024-05-17 15:30:00+00:00,2024-05-17 16:00:00+00:00,,15.0,5.0,spring,False
28.84,30.282,2024-05-17 16:00:00+00:00,2024-05-17 16:30:00+00:00,,16.0,5.0,spring,False
30.64,32.172,2024-05-17 16:30:00+00:00,2024-05-17 17:00:00+00:00,,16.0,5.0,spring,False
31.73,33.3165,2024-05-17 17:00:00+00:00,2024-05-17 17:30:00+00:00,,17.0,5.0,spring,False
32.57,34.1985,2024-05-17 17:30:00+00:00,2024-05-17 18:00:00+00:00,,17.0,5.0,spring,False
20.83,21.8715,2024-05-17 18:00:00+00:00,2024-05-17 18:30:00+00:00,,18.0,5.0,spring,False
20.41,21.4305,2024-05-17 18:30:00+00:00,2024-05-17 19:00:00+00:00,,18.0,5.0,spring,False
19.32,20.286,2024-05-17 19:00:00+00:00,2024-05-17 19:30:00+00:00,,19.0,5.0,spring,False
17.85,18.7425,2024-05-17 19:30:00+00:00,2024-05-17 20:00:00+00:00,,19.0,5.0,spring,False
18.06,18.963,2024-05-17 20:00:00+00:00,2024-05-17 20:30:00+00:00,,20.0,5.0,spring,False
16.32,17.136,2024-05-17 20:30:00+00:00,2024-05-17 21:00:00+00:00,,20.0,5.0,spring,False
15.73,16.5165,2024-05-17 21:00:00+00:00,2024-05-17 21:30:00+00:00,,21.0,5.0,spring,False
15.73,16.5165,2024-05-17 21:30:00+00:00,2024-05-17 22:00:00+00:00,,21.0,5.0,spring,False
17.85,18.7425,2024-05-17 22:00:00+00:00,2024-05-17 22:30:00+00:00,,22.0,5.0,spring,False
17.64,18.522,2024-05-17 22:30:00+00:00,2024-05-17 23:00:00+00:00,,22.0,5.0,spring,False
15.96,16.758,2024-05-17 23:00:00+00:00,2024-05-17 23:30:00+00:00,,23.0,5.0,spring,False
14.7,15.435,2024-05-17 23:30:00+00:00,2024-05-18 00:00:00+00:00,,23.0,5.0,spring,False
13.65,14.3325,2024-05-18 00:00:00+00:00,2024-05-18 00:30:00+00:00,,0.0,5.0,spring,False
13.86,14.553,2024-05-18 00:30:00+00:00,2024-05-18 01:00:00+00:00,,0.0,5.0,spring,False
13.44,14.112,2024-05-18 01:00:00+00:00,2024-05-18 01:30:00+00:00,,1.0,5.0,spring,False
11.98,12.579,2024-05-18 01:30:00+00:00,2024-05-18 02:00:00+00:00,,1.0,5.0,spring,False
13.02,13.671,2024-05-18 02:00:00+00:00,2024-05-18 02:30:00+00:00,,2.0,5.0,spring,False
12.6,13.23,2024-05-18 02:30:00+00:00,2024-05-18 03:00:00+00:00,,2.0,5.0,spring,False
