scenario_id,weather,device,competition,forecasting,probability,revenue_multiplier,revenue_per_vehicle,weather_events,grid_events,device_uptime,price_multiplier,saf_multiplier
normal_winter_baseline_uptime_normal_competition_good_accuracy,normal_winter,baseline_uptime,normal_competition,good_accuracy,0.072,0.9,134.451,40,40,0.9,1.0,0.9
normal_winter_baseline_uptime_normal_competition_excellent_accuracy,normal_winter,baseline_uptime,normal_competition,excellent_accuracy,0.072,1.0,149.39,40,40,0.9,1.0,1.0
normal_winter_high_uptime_normal_competition_good_accuracy,normal_winter,high_uptime,normal_competition,good_accuracy,0.0432,0.9297,138.887883,40,40,0.93,1.0,0.9
normal_winter_high_uptime_normal_competition_excellent_accuracy,normal_winter,high_uptime,normal_competition,excellent_accuracy,0.0432,1.033,154.31986999999998,40,40,0.93,1.0,1.0
normal_winter_baseline_uptime_normal_competition_poor_accuracy,normal_winter,baseline_uptime,normal_competition,poor_accuracy,0.027,0.7,104.57299999999998,40,40,0.9,1.0,0.7
normal_winter_baseline_uptime_high_competition_excellent_accuracy,normal_winter,baseline_uptime,high_competition,excellent_accuracy,0.024,0.85,126.98149999999998,40,40,0.9,0.85,1.0
normal_winter_baseline_uptime_low_competition_excellent_accuracy,normal_winter,baseline_uptime,low_competition,excellent_accuracy,0.024,1.15,171.79849999999996,40,40,0.9,1.15,1.0
normal_winter_baseline_uptime_low_competition_good_accuracy,normal_winter,baseline_uptime,low_competition,good_accuracy,0.024,1.035,154.61864999999997,40,40,0.9,1.15,0.9
harsh_winter_crisis_baseline_uptime_normal_competition_good_accuracy,harsh_winter_crisis,baseline_uptime,normal_competition,good_accuracy,0.024,1.755,262.17945,60,60,0.9,1.0,0.9
harsh_winter_crisis_baseline_uptime_normal_competition_excellent_accuracy,harsh_winter_crisis,baseline_uptime,normal_competition,excellent_accuracy,0.024,1.95,291.3105,60,60,0.9,1.0,1.0
normal_winter_baseline_uptime_high_competition_good_accuracy,normal_winter,baseline_uptime,high_competition,good_accuracy,0.024,0.765,114.28335,40,40,0.9,0.85,0.9
normal_winter_degraded_uptime_normal_competition_good_accuracy,normal_winter,degraded_uptime,normal_competition,good_accuracy,0.0216,0.8001,119.526939,40,40,0.8,1.0,0.9
normal_winter_degraded_uptime_normal_competition_excellent_accuracy,normal_winter,degraded_uptime,normal_competition,excellent_accuracy,0.0216,0.889,132.80771,40,40,0.8,1.0,1.0
mild_winter_low_demand_baseline_uptime_normal_competition_good_accuracy,mild_winter_low_demand,baseline_uptime,normal_competition,good_accuracy,0.018,0.405,60.50295,20,20,0.9,1.0,0.9
mild_winter_low_demand_baseline_uptime_normal_competition_excellent_accuracy,mild_winter_low_demand,baseline_uptime,normal_competition,excellent_accuracy,0.018,0.45,67.2255,20,20,0.9,1.0,1.0
normal_winter_high_uptime_normal_competition_poor_accuracy,normal_winter,high_uptime,normal_competition,poor_accuracy,0.0162,0.7230999999999999,108.02390899999997,40,40,0.93,1.0,0.7
normal_winter_high_uptime_low_competition_good_accuracy,normal_winter,high_uptime,low_competition,good_accuracy,0.0144,1.0691549999999999,159.72106544999997,40,40,0.93,1.15,0.9
normal_winter_high_uptime_high_competition_excellent_accuracy,normal_winter,high_uptime,high_competition,excellent_accuracy,0.0144,0.8780499999999999,131.17188949999996,40,40,0.93,0.85,1.0
normal_winter_high_uptime_high_competition_good_accuracy,normal_winter,high_uptime,high_competition,good_accuracy,0.0144,0.7902449999999999,118.05470054999996,40,40,0.93,0.85,0.9
normal_winter_high_uptime_low_competition_excellent_accuracy,normal_winter,high_uptime,low_competition,excellent_accuracy,0.0144,1.1879499999999998,177.46785049999997,40,40,0.93,1.15,1.0
harsh_winter_crisis_high_uptime_normal_competition_good_accuracy,harsh_winter_crisis,high_uptime,normal_competition,good_accuracy,0.0144,1.8129149999999998,270.8313718499999,60,60,0.93,1.0,0.9
harsh_winter_crisis_high_uptime_normal_competition_excellent_accuracy,harsh_winter_crisis,high_uptime,normal_competition,excellent_accuracy,0.0144,2.01435,300.92374649999994,60,60,0.93,1.0,1.0
mild_winter_low_demand_high_uptime_normal_competition_excellent_accuracy,mild_winter_low_demand,high_uptime,normal_competition,excellent_accuracy,0.0108,0.46485,69.4439415,20,20,0.93,1.0,1.0
mild_winter_low_demand_high_uptime_normal_competition_good_accuracy,mild_winter_low_demand,high_uptime,normal_competition,good_accuracy,0.0108,0.418365,62.49954734999999,20,20,0.93,1.0,0.9
harsh_winter_crisis_baseline_uptime_normal_competition_poor_accuracy,harsh_winter_crisis,baseline_uptime,normal_competition,poor_accuracy,0.009,1.365,203.91734999999997,60,60,0.9,1.0,0.7
normal_winter_baseline_uptime_low_competition_poor_accuracy,normal_winter,baseline_uptime,low_competition,poor_accuracy,0.009,0.8049999999999999,120.25894999999998,40,40,0.9,1.15,0.7
