ptu,time,optimized_kw,baseline_kw,turndown_kw,tariff_p_kwh
0,00:00,7.4,0.0,-7.4,18
1,00:30,7.4,0.0,-7.4,18
2,01:00,7.4,0.0,-7.4,17
3,01:30,0.0,0.0,0.0,16
4,02:00,0.0,0.0,0.0,15
5,02:30,0.0,0.0,0.0,15
6,03:00,0.0,0.0,0.0,16
7,03:30,0.0,0.0,0.0,17
8,04:00,0.0,0.0,0.0,18
9,04:30,0.0,0.0,0.0,19
10,05:00,0.0,0.0,0.0,20
11,05:30,0.0,0.0,0.0,21
12,06:00,0.0,0.0,0.0,22
13,06:30,0.0,0.0,0.0,23
14,07:00,0.0,0.0,0.0,32
15,07:30,0.0,0.0,0.0,34
16,08:00,0.0,0.0,0.0,36
17,08:30,0.0,0.0,0.0,35
18,09:00,0.0,0.0,0.0,33
19,09:30,0.0,0.0,0.0,31
20,10:00,0.0,0.0,0.0,30
21,10:30,0.0,0.0,0.0,29
22,11:00,0.0,0.0,0.0,28
23,11:30,0.0,0.0,0.0,27
24,12:00,0.0,0.0,0.0,27
25,12:30,0.0,0.0,0.0,28
26,13:00,0.0,0.0,0.0,29
27,13:30,0.0,0.0,0.0,30
28,14:00,0.0,0.0,0.0,31
29,14:30,0.0,0.0,0.0,32
30,15:00,0.0,0.0,0.0,45
31,15:30,0.0,0.0,0.0,48
32,16:00,0.0,0.0,0.0,52
33,16:30,0.0,0.0,0.0,55
34,17:00,0.0,1.7297122221551178,1.7297122221551178,52
35,17:30,0.0,2.8950107249156987,2.8950107249156987,48
36,18:00,0.0,2.90123736481857,2.90123736481857,45
37,18:30,0.0,1.7257605483734528,1.7257605483734528,42
38,19:00,0.0,1.156134517052713,1.156134517052713,38
39,19:30,0.0,1.1523966784676376,1.1523966784676376,35
40,20:00,0.0,1.1655353783121498,1.1655353783121498,32
41,20:30,0.0,1.1652829690240467,1.1652829690240467,29
42,21:00,0.0,0.0,0.0,26
43,21:30,0.0,0.0,0.0,24
44,22:00,0.0,0.0,0.0,22
45,22:30,0.0,0.0,0.0,20
46,23:00,0.0,0.0,0.0,19
47,23:30,0.0,0.0,0.0,18
