ptu,time,optimized_kw,baseline_kw,turndown_kw,tariff_p_kwh
0,00:00,7.4,0.0,-7.4,15.111953271028035
1,00:30,7.4,0.0,-7.4,17.67748598130841
2,01:00,7.4,0.0,-7.4,16.235355140186915
3,01:30,7.4,0.0,-7.4,14.876144859813085
4,02:00,7.4,0.0,-7.4,15.297028037383177
5,02:30,7.4,0.0,-7.4,14.50373831775701
6,03:00,7.4,0.0,-7.4,15.003616822429906
7,03:30,7.4,0.0,-7.4,14.341920560747663
8,04:00,7.4,0.0,-7.4,15.405168224299066
9,04:30,7.4,0.0,-7.4,14.57272429906542
10,05:00,0.0,0.0,0.0,16.42788785046729
11,05:30,7.4,0.0,-7.4,16.367242990654205
12,06:00,0.0,0.0,0.0,19.46091588785047
13,06:30,0.0,0.0,0.0,21.379570093457943
14,07:00,0.0,0.0,0.0,22.196509345794396
15,07:30,0.0,0.0,0.0,25.413630841121496
16,08:00,0.0,0.0,0.0,24.00702336448598
17,08:30,0.0,0.0,0.0,24.76861682242991
18,09:00,0.0,0.0,0.0,23.95030373831776
19,09:30,0.0,0.0,0.0,23.435018691588784
20,10:00,0.0,0.0,0.0,22.72190186915888
21,10:30,0.0,0.0,0.0,22.152644859813083
22,11:00,0.0,0.0,0.0,22.136158878504677
23,11:30,0.0,0.0,0.0,21.63667289719626
24,12:00,0.0,0.0,0.0,22.036163551401867
25,12:30,0.0,0.0,0.0,22.385018691588787
26,13:00,0.0,0.0,0.0,22.92218691588785
27,13:30,0.0,0.0,0.0,22.309457943925235
28,14:00,0.0,0.0,0.0,23.169967289719622
29,14:30,0.0,0.0,0.0,23.41303738317757
30,15:00,0.0,0.0,0.0,23.461514018691588
31,15:30,0.0,0.0,0.0,26.687957943925237
32,16:00,0.0,0.0,0.0,39.05018691588785
33,16:30,0.0,20.54,20.54,43.98744392523365
34,17:00,4.96,19.84,14.879999999999999,42.59761682242991
35,17:30,2.325,9.3,6.9750000000000005,43.5348644859813
36,18:00,0.0,0.0,0.0,43.16084433962264
37,18:30,0.0,0.0,0.0,40.42519811320754
38,19:00,1.85,7.4,5.550000000000001,26.643849056603774
39,19:30,1.78,7.119999999999999,5.339999999999999,23.535849056603777
40,20:00,0.0,0.0,0.0,23.367849056603774
41,20:30,0.0,0.0,0.0,20.764740566037737
42,21:00,0.0,0.0,0.0,21.6228679245283
43,21:30,0.0,0.0,0.0,19.34387264150943
44,22:00,0.0,0.0,0.0,19.70364622641509
45,22:30,0.0,0.0,0.0,17.054278301886793
46,23:00,0.0,0.0,0.0,18.57232075471698
47,23:30,0.0,0.0,0.0,16.922632075471697
