ptu,time,optimized_kw,baseline_kw,turndown_kw,tariff_p_kwh
0,00:00,33.300000000000004,0.0,-33.300000000000004,15.0
1,00:30,35.3752688172043,0.0,-35.3752688172043,15.851063829787234
2,01:00,33.300000000000004,0.0,-33.300000000000004,16.70212765957447
3,01:30,32.888172043010755,0.0,-32.888172043010755,17.5531914893617
4,02:00,33.3,0.0,-33.3,18.404255319148938
5,02:30,16.408602150537632,0.0,-16.408602150537632,19.25531914893617
6,03:00,0.0,0.0,0.0,20.106382978723403
7,03:30,3.88994623655913,0.0,-3.88994623655913,20.95744680851064
8,04:00,0.0,0.0,0.0,21.80851063829787
9,04:30,0.0,0.0,0.0,22.659574468085108
10,05:00,0.0,0.0,0.0,23.51063829787234
11,05:30,0.0,0.0,0.0,24.361702127659576
12,06:00,0.0,0.0,0.0,25.21276595744681
13,06:30,0.0,0.0,0.0,26.06382978723404
14,07:00,0.0,0.0,0.0,26.914893617021278
15,07:30,0.0,0.0,0.0,27.76595744680851
16,08:00,0.0,0.0,0.0,28.617021276595743
17,08:30,0.0,0.0,0.0,29.46808510638298
18,09:00,0.0,0.0,0.0,30.319148936170215
19,09:30,0.0,0.0,0.0,31.170212765957448
20,10:00,0.0,0.0,0.0,32.02127659574468
21,10:30,0.0,0.0,0.0,32.87234042553192
22,11:00,0.0,0.0,0.0,33.72340425531915
23,11:30,0.0,0.0,0.0,34.57446808510638
24,12:00,0.0,0.0,0.0,35.42553191489362
25,12:30,0.0,0.0,0.0,36.27659574468085
26,13:00,0.0,0.0,0.0,37.12765957446808
27,13:30,0.0,0.0,0.0,37.97872340425532
28,14:00,0.0,0.0,0.0,38.829787234042556
29,14:30,0.0,0.0,0.0,39.68085106382979
30,15:00,0.0,0.0,0.0,40.53191489361702
31,15:30,0.0,0.0,0.0,41.38297872340426
32,16:00,0.0,0.0,0.0,42.234042553191486
33,16:30,0.0,29.6,29.6,43.08510638297872
34,17:00,21.01612903225806,51.699999999999996,30.683870967741935,43.93617021276596
35,17:30,22.27887096774194,56.28,34.00112903225806,44.787234042553195
36,18:00,0.0,38.58,38.58,45.63829787234043
37,18:30,0.0,19.899999999999995,19.899999999999995,46.48936170212766
38,19:00,0.0,11.100000000000001,11.100000000000001,47.340425531914896
39,19:30,1.46,1.4600000000000009,8.881784197001252e-16,48.191489361702125
40,20:00,0.0,0.0,0.0,49.04255319148936
41,20:30,0.0,0.0,0.0,49.8936170212766
42,21:00,0.0,0.0,0.0,50.74468085106383
43,21:30,0.0,0.0,0.0,51.59574468085106
44,22:00,0.0,0.0,0.0,52.4468085106383
45,22:30,0.0,0.0,0.0,53.297872340425535
46,23:00,0.0,0.0,0.0,54.148936170212764
47,23:30,0.0,0.0,0.0,55.0
