vehicle_id,vehicle_class,make_model,battery_capacity_kwh,usable_battery_kwh,vehicle_max_ac_kw,home_cp_type_kw,effective_cp_max_kw,charging_efficiency,cp_min_kw,base_efficiency_wh_km,seasonal_efficiency_factor,season,daily_mileage_km,plug_in_time,plug_out_time,return_soc,energy_to_charge_kwh,target_soc,required_charging_hours,flexibility_margin_hours,behavioral_profile,weekday_predictability,weekend_predictability,driver_reliability,opt_out_probability,uses_public_charging,postcode_zone,historical_participation_rate,historical_success_rate,ws1_validated,notes,charging_window_hours,plug_in_hour
EV001,Car,Volkswagen ID.3,58.0,55.0,11.0,7.4,7.4,0.93,1.4,155,1.1,summer,68.3,16:52,07:25,0.787,7.35,0.921,1.07,13.48,reliable,0.95,0.61,0.95,0.05,False,LONDON,0.26,0.97,True,"reliable, summer, LONDON, WS1-pattern",14.55,16.866666666666667
EV002,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.1,summer,66.3,16:30,07:19,0.85,3.46,0.91,0.5,14.31,reliable,0.95,0.65,0.95,0.05,True,MANCHESTER,0.16,0.88,True,"reliable, summer, MANCHESTER, WS1-pattern",14.816666666666666,16.5
EV003,Van,Vauxhall Vivaro-e,50.0,48.0,7.4,7.4,7.4,0.93,1.4,210,1.26,winter,56.3,20:34,07:10,0.629,11.89,0.877,1.73,8.87,irregular,0.6,0.66,0.6,0.3,False,LEEDS,0.13,0.99,True,"irregular, winter, LEEDS, WS1-pattern",10.6,20.566666666666666
EV004,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.26,winter,60.1,17:27,07:26,0.72,8.84,0.874,1.29,12.7,reliable,0.95,0.63,0.95,0.05,False,LEEDS,0.0,0.0,True,"reliable, winter, LEEDS, WS1-pattern",13.983333333333333,17.45
EV005,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.26,winter,61.4,17:30,07:31,0.712,11.97,0.915,1.74,12.28,reliable,0.95,0.64,0.95,0.05,False,LONDON,0.06,0.98,True,"reliable, winter, LONDON, WS1-pattern",14.016666666666667,17.5
EV006,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,autumn,80.3,18:58,07:23,0.725,10.06,0.896,1.46,10.95,late_arrival,0.75,0.62,0.8,0.15,False,LONDON,0.35,0.65,True,"late_arrival, autumn, LONDON, WS1-pattern",12.416666666666666,18.966666666666665
EV007,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.26,winter,116.9,17:42,07:31,0.25,24.68,0.899,3.59,10.23,reliable,0.95,0.6,0.95,0.05,False,BRISTOL,0.27,0.92,True,"reliable, winter, BRISTOL, WS1-pattern",13.816666666666666,17.7
EV008,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.26,winter,85.5,18:45,07:18,0.797,4.88,0.88,0.71,11.84,late_arrival,0.75,0.6,0.8,0.15,True,BIRMINGHAM,0.17,0.93,True,"late_arrival, winter, BIRMINGHAM, WS1-pattern",12.55,18.75
EV009,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.26,winter,79.3,18:34,07:01,0.663,14.06,0.908,2.04,10.41,late_arrival,0.75,0.69,0.8,0.15,False,LONDON,0.29,0.89,True,"late_arrival, winter, LONDON, WS1-pattern",12.45,18.566666666666666
EV010,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.1,summer,76.6,16:37,07:07,0.813,4.34,0.886,0.63,13.87,reliable,0.95,0.67,0.95,0.05,True,LONDON,0.0,0.0,True,"reliable, summer, LONDON, WS1-pattern",14.5,16.616666666666667
EV011,Car,Volkswagen ID.3,58.0,55.0,11.0,7.4,7.4,0.93,1.4,155,1.26,winter,72.5,18:00,07:31,0.686,10.68,0.88,1.55,11.96,reliable,0.95,0.65,0.95,0.05,False,BRISTOL,0.0,0.0,True,"reliable, winter, BRISTOL, WS1-pattern",13.516666666666667,18.0
EV012,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.05,autumn,46.8,18:42,07:13,0.85,3.08,0.904,0.45,12.07,irregular,0.6,0.7,0.6,0.3,True,LONDON,0.0,0.0,True,"irregular, autumn, LONDON, WS1-pattern",12.516666666666667,18.7
EV013,Premium,Tesla Model 3 Long Range,60.0,57.5,11.0,7.4,7.4,0.93,1.4,145,1.05,spring,77.6,19:47,07:51,0.759,9.79,0.929,1.42,10.64,late_arrival,0.75,0.67,0.8,0.15,False,MANCHESTER,0.0,0.0,True,"late_arrival, spring, MANCHESTER, WS1-pattern",12.066666666666666,19.783333333333335
EV014,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.26,winter,47.0,17:07,07:07,0.828,4.53,0.905,0.66,13.34,reliable,0.95,0.69,0.95,0.05,True,LONDON,0.42,0.97,True,"reliable, winter, LONDON, WS1-pattern",14.0,17.116666666666667
EV015,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.26,winter,65.2,18:00,07:42,0.715,10.46,0.897,1.52,12.18,reliable,0.95,0.67,0.95,0.05,False,LONDON,0.08,0.9,True,"reliable, winter, LONDON, WS1-pattern",13.7,18.0
EV016,Van,Vauxhall Vivaro-e,50.0,48.0,7.4,7.4,7.4,0.93,1.4,210,1.05,spring,72.7,16:30,07:00,0.691,9.98,0.899,1.45,13.05,reliable,0.95,0.66,0.95,0.05,True,LONDON,0.0,0.0,True,"reliable, spring, LONDON, WS1-pattern",14.5,16.5
EV017,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.05,spring,66.6,17:23,07:21,0.756,7.03,0.879,1.02,12.94,reliable,0.95,0.66,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, spring, LONDON, WS1-pattern",13.966666666666667,17.383333333333333
EV018,Van,Renault Kangoo E-Tech,45.0,42.8,7.4,3.7,3.7,0.93,1.4,190,1.05,spring,111.7,17:27,07:17,0.411,19.6,0.869,5.7,8.14,reliable,0.95,0.64,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, spring, LONDON, WS1-pattern",13.833333333333334,17.45
EV019,Van,Vauxhall Vivaro-e,50.0,48.0,7.4,7.4,7.4,0.93,1.4,210,1.1,summer,84.6,16:41,07:47,0.539,18.23,0.919,2.65,12.45,reliable,0.95,0.67,0.95,0.05,False,BRISTOL,0.0,0.0,True,"reliable, summer, BRISTOL, WS1-pattern",15.1,16.683333333333334
EV020,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.26,winter,74.9,20:26,07:15,0.685,13.88,0.921,2.02,8.8,irregular,0.6,0.64,0.6,0.3,False,LONDON,0.0,0.0,True,"irregular, winter, LONDON, WS1-pattern",10.816666666666666,20.433333333333334
EV021,Car,MG5 EV Long Range,61.1,57.4,11.0,3.7,3.7,0.93,1.4,160,1.05,spring,87.9,17:09,07:27,0.73,10.31,0.91,3.0,11.3,reliable,0.95,0.7,0.95,0.05,False,LEEDS,0.0,0.0,True,"reliable, spring, LEEDS, WS1-pattern",14.3,17.15
EV022,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.26,winter,55.1,16:30,08:00,0.729,8.25,0.872,1.2,14.3,reliable,0.95,0.69,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, winter, LONDON, WS1-pattern",15.5,16.5
EV023,Van,Vauxhall Vivaro-e,50.0,48.0,7.4,7.4,7.4,0.93,1.4,210,1.26,winter,70.0,16:30,07:02,0.586,14.89,0.896,2.16,12.37,reliable,0.95,0.68,0.95,0.05,False,BRISTOL,0.22,0.8,True,"reliable, winter, BRISTOL, WS1-pattern",14.533333333333333,16.5
EV024,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.26,winter,65.2,17:23,07:34,0.782,7.42,0.911,1.08,13.11,reliable,0.95,0.7,0.95,0.05,False,MANCHESTER,0.0,0.0,True,"reliable, winter, MANCHESTER, WS1-pattern",14.183333333333334,17.383333333333333
EV025,Car,Volkswagen ID.3,58.0,55.0,11.0,7.4,7.4,0.93,1.4,155,1.1,summer,76.7,17:12,07:27,0.85,2.0,0.87,0.29,13.96,reliable,0.95,0.7,0.95,0.05,True,BRISTOL,0.0,0.0,True,"reliable, summer, BRISTOL, WS1-pattern",14.25,17.2
EV026,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,spring,82.7,18:30,07:44,0.716,13.34,0.942,1.94,11.29,late_arrival,0.75,0.67,0.8,0.15,False,LONDON,0.0,0.0,True,"late_arrival, spring, LONDON, WS1-pattern",13.233333333333333,18.5
EV027,Car,Volkswagen ID.3,58.0,55.0,11.0,7.4,7.4,0.93,1.4,155,1.26,winter,57.8,19:08,07:00,0.767,9.15,0.933,1.33,10.54,late_arrival,0.75,0.65,0.8,0.15,False,LEEDS,0.48,0.96,True,"late_arrival, winter, LEEDS, WS1-pattern",11.866666666666667,19.133333333333333
