company_name,fu_id,zone,product,start_time_local,end_time_local,availability_mw_req,utilisation_mw_req,availability_price,utilisation_price,availability_mwh_req,utilisation_mwh_req,technology,dispatch_type,hours_requested,dispatch_method,start_time_utc,end_time_utc,time_utc
Axle Energy Limited,hendon-way-lt_saou-ev-c1-portfolio,Hendon Way,Scheduled Availability,2025-06-23T15:00:00+01:00,2025-06-23T19:00:00+01:00,0.049,0.0,109.0,0.0,0.2,0.0,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-23 14:00:00+00:00,2025-06-23 18:00:00+00:00,14:00:00+00:00
Axle Energy Limited,6930-HEND-PR-2869,Hendon Way,Peak Reduction,2025-06-23T15:00:00+01:00,2025-06-23T19:00:00+01:00,0.0,0.01,0.0,134.58,0.0,0.04,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-23 14:00:00+00:00,2025-06-23 18:00:00+00:00,14:00:00+00:00
Axle Energy Limited,selwyn-road-lt_saou-ev-c1-portfolio,Selwyn Road,Scheduled Availability,2025-06-23T15:00:00+01:00,2025-06-23T19:00:00+01:00,0.018,0.0,35.0,0.0,0.07,0.0,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-23 14:00:00+00:00,2025-06-23 18:00:00+00:00,14:00:00+00:00
Ohme,OHME-WILL-LTU-3088,Willesden Grid,Long-Term Utilisation,2025-06-23T13:30:00+01:00,2025-06-23T15:00:00+01:00,0.0,0.02,0.0,90.0,0.0,0.03,EV Charger DSR,demand_turn_down,1.5,epex,2025-06-23 12:30:00+00:00,2025-06-23 14:00:00+00:00,12:30:00+00:00
Ev.energy,EV.E-THOR-SAOU-F901,Thorpe Grid 33,Scheduled Availability,2025-06-23T11:30:00+01:00,2025-06-23T13:00:00+01:00,0.09,0.0,14.0,0.0,0.14,0.0,EV Charger DSR,demand_turn_down,1.5,epex,2025-06-23 10:30:00+00:00,2025-06-23 12:00:00+00:00,10:30:00+00:00
EDF Energy,01AC-BRAM-PR-B15A,Bramford Diss Thetford,Peak Reduction,2025-06-23T11:00:00+01:00,2025-06-23T15:00:00+01:00,0.0,0.01,0.0,29.62,0.0,0.04,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-23 10:00:00+00:00,2025-06-23 14:00:00+00:00,10:00:00+00:00
Axle Energy Limited,6930-BRAM-PR-1656,Bramford Diss Thetford,Peak Reduction,2025-06-23T11:00:00+01:00,2025-06-23T15:00:00+01:00,0.0,0.06,0.0,42.27,0.0,0.24,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-23 10:00:00+00:00,2025-06-23 14:00:00+00:00,10:00:00+00:00
Ohme,Bramford Diss Thetford,Bramford Diss Thetford,Peak Reduction,2025-06-23T11:00:00+01:00,2025-06-23T15:00:00+01:00,0.0,0.15,0.0,42.31,0.0,0.6,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-23 10:00:00+00:00,2025-06-23 14:00:00+00:00,10:00:00+00:00
Axle Energy Limited,waddesdon-lt_saou-ev-c1-portfolio,Waddesdon,Scheduled Availability,2025-06-23T11:00:00+01:00,2025-06-23T15:00:00+01:00,0.019,0.0,32.0,0.0,0.08,0.0,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-23 10:00:00+00:00,2025-06-23 14:00:00+00:00,10:00:00+00:00
Ohme,Cobham,Cobham,Peak Reduction,2025-06-23T09:00:00+01:00,2025-06-23T22:30:00+01:00,0.0,0.01,0.0,27.86,0.0,0.14,EV Charger DSR,demand_turn_down,13.5,epex,2025-06-23 08:00:00+00:00,2025-06-23 21:30:00+00:00,08:00:00+00:00
Octopus,OCTO-KIMB-LTU-3702,Kimbolton,Long-Term Utilisation,2025-06-23T09:00:00+01:00,2025-06-23T17:00:00+01:00,0.0,0.105,0.0,30.0,0.0,0.84,EV Charger DSR,demand_turn_down,8.0,epex,2025-06-23 08:00:00+00:00,2025-06-23 16:00:00+00:00,08:00:00+00:00
Octopus,OCTO-SMEE-LTU-A3D3,Smeeth,Long-Term Utilisation,2025-06-23T08:00:00+01:00,2025-06-23T23:00:00+01:00,0.0,0.032,0.0,91.0,0.0,0.48,EV Charger DSR,demand_turn_down,15.0,epex,2025-06-23 07:00:00+00:00,2025-06-23 22:00:00+00:00,07:00:00+00:00
Axle Energy Limited,brandon-da-ev-portfolio,Brandon,Day-Ahead,2025-06-22T17:00:00+01:00,2025-06-22T19:00:00+01:00,0.0,0.02,0.0,598.0,0.0,0.04,EV Charger DSR,demand_turn_down,2.0,epex,2025-06-22 16:00:00+00:00,2025-06-22 18:00:00+00:00,16:00:00+00:00
OVO Energy,OVO -UPLA-DA-5FF9,Uplands Park,Day-Ahead,2025-06-22T17:00:00+01:00,2025-06-22T19:00:00+01:00,0.0,0.022,0.0,0.0,0.0,0.04,EV Charger DSR,demand_turn_down,2.0,epex,2025-06-22 16:00:00+00:00,2025-06-22 18:00:00+00:00,16:00:00+00:00
