company_name,fu_id,zone,product,start_time_local,end_time_local,availability_mw_req,utilisation_mw_req,availability_price,utilisation_price,availability_mwh_req,utilisation_mwh_req,technology,dispatch_type,hours_requested,dispatch_method,start_time_utc,end_time_utc,time_utc
OVO Energy,OVO -CAPE-DA-6864,Capel Switching Station,Day Ahead,2025-12-01T08:00:00+00:00,2025-12-01T10:00:00+00:00,0.0,0.018,0.0,40.0,0.0,0.04,Flexible Site Demand,demand_turn_down,2.0,epex,2025-12-01 08:00:00+00:00,2025-12-01 10:00:00+00:00,08:00:00+00:00
OVO Energy,OVO -CAPE-DA-6864,Capel Switching Station,Day Ahead,2025-11-27T17:00:00+00:00,2025-11-27T19:00:00+00:00,0.0,0.032,0.0,40.0,0.0,0.06,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-27 17:00:00+00:00,2025-11-27 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -ALDR-DA-1AD4,Aldreth,Day Ahead,2025-11-26T18:00:00+00:00,2025-11-26T19:00:00+00:00,0.0,0.022,0.0,154.0,0.0,0.02,Flexible Site Demand,demand_turn_down,1.0,epex,2025-11-26 18:00:00+00:00,2025-11-26 19:00:00+00:00,18:00:00+00:00
Axle Energy Limited,halstead-da-ev-portfolio,Halstead,Day Ahead,2025-11-26T18:00:00+00:00,2025-11-26T19:00:00+00:00,0.0,0.03,0.0,598.0,0.0,0.03,EV Charger DSR,demand_turn_down,1.0,epex,2025-11-26 18:00:00+00:00,2025-11-26 19:00:00+00:00,18:00:00+00:00
Axle Energy Limited,takeley-lt_saou-ev-c1-portfolio,Takeley,Day Ahead,2025-11-26T17:00:00+00:00,2025-11-26T19:00:00+00:00,0.0,0.021,0.0,477.0,0.0,0.04,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-26 17:00:00+00:00,2025-11-26 19:00:00+00:00,17:00:00+00:00
Ohme,WKTW,Warehorne Kenardington Tenterden Wittersham,Day Ahead,2025-11-26T17:00:00+00:00,2025-11-26T19:00:00+00:00,0.0,0.06,0.0,16.0,0.0,0.12,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-26 17:00:00+00:00,2025-11-26 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -BRAM-DA-A9EB,Bramford Diss Thetford,Day Ahead,2025-11-26T13:00:00+00:00,2025-11-26T15:00:00+00:00,0.0,0.031,0.0,8.0,0.0,0.06,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-26 13:00:00+00:00,2025-11-26 15:00:00+00:00,13:00:00+00:00
Axle Energy Limited,laxfield-lt_saou-ev-c1-portfolio,Laxfield,Day Ahead,2025-11-26T13:00:00+00:00,2025-11-26T14:00:00+00:00,0.0,0.01,0.0,96.0,0.0,0.01,EV Charger DSR,demand_turn_down,1.0,epex,2025-11-26 13:00:00+00:00,2025-11-26 14:00:00+00:00,13:00:00+00:00
ev.energy,EV.E-THOR-SAOU-F901,Thorpe Grid 33,Day Ahead,2025-11-26T12:30:00+00:00,2025-11-26T13:00:00+00:00,0.0,0.09,0.0,80.0,0.0,0.04,EV Charger DSR,demand_turn_down,0.5,epex,2025-11-26 12:30:00+00:00,2025-11-26 13:00:00+00:00,12:30:00+00:00
OVO Energy,OVO -SELW-DA-CFEA,Selwyn Road,Day Ahead,2025-11-25T17:00:00+00:00,2025-11-25T19:00:00+00:00,0.0,0.01,0.0,76.0,0.0,0.02,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-25 17:00:00+00:00,2025-11-25 19:00:00+00:00,17:00:00+00:00
OVO Energy,OVO -CAPE-DA-6864,Capel Switching Station,Day Ahead,2025-11-25T08:00:00+00:00,2025-11-25T10:00:00+00:00,0.0,0.018,0.0,40.0,0.0,0.04,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-25 08:00:00+00:00,2025-11-25 10:00:00+00:00,08:00:00+00:00
Axle Energy Limited,trowse-grid-33-da-ev-portfolio,Trowse Grid 33,Day Ahead,2025-11-24T17:30:00+00:00,2025-11-24T19:30:00+00:00,0.0,0.49,0.0,238.0,0.0,0.98,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-24 17:30:00+00:00,2025-11-24 19:30:00+00:00,17:30:00+00:00
OVO Energy,OVO -REED-DA-3125,Reed,Day Ahead,2025-11-24T17:00:00+00:00,2025-11-24T19:00:00+00:00,0.0,0.01,0.0,11.0,0.0,0.02,Flexible Site Demand,demand_turn_down,2.0,epex,2025-11-24 17:00:00+00:00,2025-11-24 19:00:00+00:00,17:00:00+00:00
Axle Energy Limited,sevington-total-lt_saou-ev-c1-portfolio,Sevington Total,Day Ahead,2025-11-24T17:00:00+00:00,2025-11-24T19:00:00+00:00,0.0,0.043,0.0,263.0,0.0,0.09,EV Charger DSR,demand_turn_down,2.0,epex,2025-11-24 17:00:00+00:00,2025-11-24 19:00:00+00:00,17:00:00+00:00
Axle Energy Limited,willesden-grid-da-ev-portfolio,Willesden Grid,Day Ahead,2025-11-24T13:30:00+00:00,2025-11-24T15:00:00+00:00,0.0,0.02,0.0,301.0,0.0,0.03,EV Charger DSR,demand_turn_down,1.5,epex,2025-11-24 13:30:00+00:00,2025-11-24 15:00:00+00:00,13:30:00+00:00
