ptu_index,time_utc,baseline_kw,num_vehicles_charging,hour,carbon_intensity,energy_kwh,emissions_kg,optimized_kw,optimized_energy_kwh,optimized_emissions_kg
0,00:00,0.0,0.0,0,103.84272300469483,0.0,0.0,0.0,0.0,0.0
1,00:30,0.0,0.0,0,103.84272300469483,0.0,0.0,0.0,0.0,0.0
2,01:00,0.0,0.0,1,101.6830985915493,0.0,0.0,0.0,0.0,0.0
3,01:30,0.0,0.0,1,101.6830985915493,0.0,0.0,0.0,0.0,0.0
4,02:00,0.0,0.0,2,101.67370892018779,0.0,0.0,0.0,0.0,0.0
5,02:30,0.0,0.0,2,101.67370892018779,0.0,0.0,0.0,0.0,0.0
6,03:00,0.0,0.0,3,103.42957746478874,0.0,0.0,0.0,0.0,0.0
7,03:30,0.0,0.0,3,103.42957746478874,0.0,0.0,0.0,0.0,0.0
8,04:00,0.0,0.0,4,113.50469483568075,0.0,0.0,0.0,0.0,0.0
9,04:30,0.0,0.0,4,113.50469483568075,0.0,0.0,0.0,0.0,0.0
10,05:00,0.0,0.0,5,127.17136150234742,0.0,0.0,0.0,0.0,0.0
11,05:30,0.0,0.0,5,127.17136150234742,0.0,0.0,0.0,0.0,0.0
12,06:00,0.0,0.0,6,132.46713615023475,0.0,0.0,0.0,0.0,0.0
13,06:30,0.0,0.0,6,132.46713615023475,0.0,0.0,0.0,0.0,0.0
14,07:00,0.0,0.0,7,129.19483568075117,0.0,0.0,0.0,0.0,0.0
15,07:30,0.0,0.0,7,129.19483568075117,0.0,0.0,0.0,0.0,0.0
16,08:00,0.0,0.0,8,122.82159624413146,0.0,0.0,0.0,0.0,0.0
17,08:30,0.0,0.0,8,122.82159624413146,0.0,0.0,0.0,0.0,0.0
18,09:00,0.0,0.0,9,115.80046948356808,0.0,0.0,0.0,0.0,0.0
19,09:30,0.0,0.0,9,115.80046948356808,0.0,0.0,0.0,0.0,0.0
20,10:00,0.0,0.0,10,110.4319248826291,0.0,0.0,0.0,0.0,0.0
21,10:30,0.0,0.0,10,110.4319248826291,0.0,0.0,0.0,0.0,0.0
22,11:00,0.0,0.0,11,106.97183098591549,0.0,0.0,0.0,0.0,0.0
23,11:30,0.0,0.0,11,106.97183098591549,0.0,0.0,0.0,0.0,0.0
24,12:00,0.0,0.0,12,105.74882629107981,0.0,0.0,0.0,0.0,0.0
25,12:30,0.0,0.0,12,105.74882629107981,0.0,0.0,0.0,0.0,0.0
26,13:00,0.0,0.0,13,108.27464788732394,0.0,0.0,0.0,0.0,0.0
27,13:30,0.0,0.0,13,108.27464788732394,0.0,0.0,0.0,0.0,0.0
28,14:00,0.0,0.0,14,116.98126463700234,0.0,0.0,0.0,0.0,0.0
29,14:30,0.0,0.0,14,116.98126463700234,0.0,0.0,0.0,0.0,0.0
30,15:00,0.0,0.0,15,131.74532710280374,0.0,0.0,0.0,0.0,0.0
31,15:30,7.394134405798002,1.0,15,131.74532710280374,3.697067202899001,0.48707132796697655,5.9153075246384015,2.9576537623192007,0.3896570623735813
32,16:00,7.398989732038133,1.0,16,144.6518691588785,3.6994948660190663,0.5351388473133327,5.919191785630506,2.959595892815253,0.42811107785066616
33,16:30,125.212974453743,19.0,16,144.6518691588785,62.6064872268715,9.056145398838414,100.17037956299441,50.085189781497206,7.244916319070732
34,17:00,284.0689877154289,41.0,17,152.21495327102804,142.03449385771444,21.619773845426124,227.2551901723431,113.62759508617155,17.295819076340898
35,17:30,283.4404833365827,41.0,17,152.21495327102804,141.72024166829135,21.57193996309777,226.75238666926617,113.37619333463309,17.257551970478218
36,18:00,203.324027384028,31.0,18,155.19859813084113,101.662013692014,15.777802008158949,162.65922190722242,81.32961095361121,12.622241606527162
37,18:30,175.38833052348383,27.0,18,155.19859813084113,87.69416526174192,13.610011512876651,140.31066441878707,70.15533220939353,10.888009210301323
38,19:00,135.9609336676635,22.0,19,153.48130841121494,67.98046683383176,10.4337309960617,108.76874693413082,54.38437346706541,8.34698479684936
39,19:30,110.10447342417844,18.0,19,153.48130841121494,55.05223671208922,8.449489321535374,88.08357873934276,44.04178936967138,6.7595914572283
40,20:00,40.99938316164496,7.0,20,145.57242990654206,20.49969158082248,2.9841899157550107,32.79950652931597,16.399753264657985,2.3873519326040085
41,20:30,25.87289258380883,4.0,20,145.57242990654206,12.936446291904415,1.8831899210680014,20.698314067047065,10.349157033523532,1.5065519368544011
42,21:00,11.062866463004376,2.0,21,127.46028037383178,5.531433231502188,0.7050380305563992,8.850293170403502,4.425146585201751,0.5640304244451195
43,21:30,3.719238236716828,1.0,21,127.46028037383178,1.859619118358414,0.23702757421450132,2.975390589373463,1.4876952946867315,0.18962205937160106
44,22:00,3.688796112514869,1.0,22,110.29205607476635,1.8443980562574345,0.20342245384493504,144.22663436948878,72.11331718474439,7.95352602267724
45,22:30,3.733781179700618,1.0,22,110.29205607476635,1.866890589850309,0.2059032016212239,145.98548594035066,72.99274297017533,8.050519700717585
46,23:00,0.0,0.0,23,105.81359649122807,0.0,0.0,0.0,0.0,0.0
47,23:30,0.0,0.0,23,105.81359649122807,0.0,0.0,0.0,0.0,0.0
